Sample name,Tool,Delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample62,freyja,0.572321,0.197415,0,0.230264,,0.2514177694,0.2514177694,0.1818181818,0.04761904762,0.04285714286
sample63,freyja,0,0.9125,0,0.0875,,0.8723404255,0.8936170213,0.09090909091,0.4444444444,0.2571428571
sample64,freyja,0.897778,0.00488,0,0.097342,,0.001888574127,0.001888574127,0.5454545455,0.06349206349,0.05714285714
sample65,freyja,0.084507,0.6171905,0,0.2983025,,0.6279069767,0.9069767442,0.1363636364,0.3015873016,0.2285714286
sample66,freyja,0,0,0,1,,0,0,,0,
sample67,freyja,0.3208,0.301758,0.262295,0.115147,,0.3157431838,0.6842568162,0.1363636364,0.07936507937,0.07142857143
sample68,freyja,0,0,0,1,,0,0,,0,0
sample69,freyja,0.3,0.64,0,0.06,,0.5789473684,0.5789473684,0.1363636364,0.1111111111,0.07142857143
sample70,freyja,0.096416,0.802251,0,0.101333,,0.7197851388,0.7206803939,0.1363636364,0.4603174603,0.2714285714
sample71,freyja,0,0.931035,0,0.068965,,0.9142857143,0.9714285714,,0.3650793651,0.2428571429
sample72,freyja,0.908759,0,0,0.091241,,0,0,0.5909090909,0.06349206349,0.05714285714
sample73,freyja,0.76,0.087379,0,0.152621,,0.1,0.1,0.3181818182,0.03174603175,0.02857142857
sample74,freyja,0,0.913043,0,0.086957,,0.9375,0.9375,0.04545454545,0.4920634921,0.3428571429
sample75,freyja,0,0,0,1,,0,0,,,
sample76,freyja,0,0.923077,0,0.076923,,0.9127516779,0.9127516779,0.09090909091,0.5714285714,0.3714285714
sample77,freyja,0,0.917695,0,0.082305,,0.9259259259,0.9259259259,0.04545454545,0.4444444444,0.2714285714
sample78,freyja,0.736406,0.077922,0,0.185672,,0.1117266851,0.1117266851,0.3636363636,0.01587301587,0.01428571429
sample79,freyja,0.081736,0.075269,0.590396,0.251824,,0.0821812596,0.8072196621,0.1363636364,0.1587301587,0.1571428571
sample80,freyja,0,0.672262,0.178237,0.149501,,0.5538461538,0.8769230769,0.09090909091,0.380952381,0.3142857143
sample81,freyja,0.693016,0.203008,0,0.103976,,0.2683379759,0.2683379759,0.2727272727,0.06349206349,0.05714285714
sample82,freyja,0.095553,0.714701,0.069202,0.120544,,0.7368852459,0.8549180328,0.1363636364,0.4126984127,0.3428571429
sample83,freyja,0,0,0,0.99961,,0.9953488372,0.9968992248,0.1363636364,0.4920634921,0.3714285714
sample84,freyja,0,0.206761,0.608684,0.184555,,0.2068965517,0.9482758621,0.09090909091,0.3492063492,0.4285714286
sample85,freyja,0.392701,0.360013,0,0.247286,,0.4170984456,0.4170984456,0.09090909091,0.04761904762,0.02857142857
sample86,freyja,0.010158,0.906098,0,0.083744,,0.8993288591,0.9006711409,0.1363636364,0.5555555556,0.3571428571
sample87,freyja,0.087404,0.701754,0,0.210842,,0.7168576105,0.7168576105,0.09090909091,0.1904761905,0.08571428571
sample88,freyja,0.469853,0.420157,0,0.10999,,0.5154545455,0.5154545455,0.1363636364,0.07936507937,0.05714285714
sample89,freyja,0.005294,0.791251,0,0.202887,,0.7896494157,0.7896494157,0.09090909091,0.4285714286,0.2428571429
sample90,freyja,0,0,0.912,0.088,,0.001611170784,0.9957035446,0.09090909091,0.3968253968,0.5857142857
sample91,freyja,0.559961,0.212766,0,0.227273,,0.2941176471,0.2941176471,0.1818181818,0.01587301587,0.01428571429
sample92,freyja,0.098374,0.077165,0.707152,0.117134,,0.09149277689,0.9020866774,0.1818181818,0.380952381,0.4142857143
sample93,freyja,0.626667,0.063291,0.0875,0.222542,,0.1129032258,0.2258064516,0.1363636364,0.04761904762,0.04285714286
sample94,freyja,0.264423,0.249373,0.237898,0.248306,,0.2549869905,0.6001734605,0.1363636364,0.04761904762,0.04285714286
sample95,freyja,0,0.760417,0,0.239583,,0.8,0.8,0.04545454545,0.2857142857,0.1571428571
sample96,freyja,0.117359,0.796134,0,0.086507,,0.7812911726,0.7826086957,0.1363636364,0.5396825397,0.3428571429
sample97,freyja,0,0.92,0,0.08,,0.803030303,0.803030303,0.09090909091,0.4761904762,0.3142857143
sample98,freyja,0,0,0,1,,0,0,0,0,0
sample99,freyja,0.74175,0.073737,0.076549,0.107263,,0.1102588686,0.2243528284,0.3181818182,0.06349206349,0.05714285714
sample100,freyja,0,0,0.921829,0.078171,,0,1,0.09090909091,0.3968253968,0.5857142857
sample1,lineagespot,0.04545454545,,,,,,,,,
sample2,lineagespot,0.04545454545,,,,,,,,,
sample3,lineagespot,0.1363636364,,,,,,,,,
sample4,lineagespot,0.1363636364,,,,,,,,,
sample5,lineagespot,0.09090909091,,,,,,,,,
sample6,lineagespot,0.1363636364,,,,,,,,,
sample7,lineagespot,0.09090909091,,,,,,,,,
sample8,lineagespot,0.3181818182,,,,,,,,,
sample9,lineagespot,0.1363636364,,,,,,,,,
sample10,lineagespot,0.1363636364,,,,,,,,,
sample11,lineagespot,0.1818181818,,,,,,,,,
sample12,lineagespot,0.3636363636,,,,,,,,,
sample13,lineagespot,0.3636363636,,,,,,,,,
sample14,lineagespot,0.09090909091,,,,,,,,,
sample15,lineagespot,0.1363636364,,,,,,,,,
sample16,lineagespot,0.5454545455,,,,,,,,,
sample17,lineagespot,0.09090909091,,,,,,,,,
sample18,lineagespot,0.1363636364,,,,,,,,,
sample19,lineagespot,0.09090909091,,,,,,,,,
sample20,lineagespot,0.09090909091,,,,,,,,,
sample21,lineagespot,0.5,,,,,,,,,
sample22,lineagespot,0.09090909091,,,,,,,,,
sample23,lineagespot,0.04545454545,,,,,,,,,
sample24,lineagespot,0.1363636364,,,,,,,,,
sample25,lineagespot,0.04545454545,,,,,,,,,
sample26,lineagespot,0.1363636364,,,,,,,,,
sample27,lineagespot,0.1363636364,,,,,,,,,
sample28,lineagespot,0.5454545455,,,,,,,,,
sample29,lineagespot,0.5,,,,,,,,,
sample30,lineagespot,0.4090909091,,,,,,,,,
sample31,lineagespot,0.09090909091,,,,,,,,,
sample32,lineagespot,0.2727272727,,,,,,,,,
sample33,lineagespot,0.09090909091,,,,,,,,,
sample34,lineagespot,0.09090909091,,,,,,,,,
sample35,lineagespot,0.2727272727,,,,,,,,,
sample36,lineagespot,0.3636363636,,,,,,,,,
sample37,lineagespot,0.09090909091,,,,,,,,,
sample38,lineagespot,0.3181818182,,,,,,,,,
sample39,lineagespot,0.5,,,,,,,,,
sample40,lineagespot,0.09090909091,,,,,,,,,
sample41,lineagespot,0.2727272727,,,,,,,,,
sample42,lineagespot,0.04545454545,,,,,,,,,
sample43,lineagespot,0.09090909091,,,,,,,,,
sample44,lineagespot,0.3181818182,,,,,,,,,
sample45,lineagespot,0.1363636364,,,,,,,,,
sample46,lineagespot,0.1363636364,,,,,,,,,
sample47,lineagespot,0.1363636364,,,,,,,,,
sample48,lineagespot,0.1363636364,,,,,,,,,
sample49,lineagespot,0.4545454545,,,,,,,,,
