Sample name,fr_delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample29 ,0.8626009999999998,0.06085799999999999,0.0,0.076541,,0.07534983853999999,0.07534983853999999,0.5,0.06349206349,0.057142857139999996
sample30 ,0.812792,0.0,0.0,0.187208,,0.0,0.0,0.40909090909999996,0.01587301587,0.01428571429
sample31 ,0.087081,0.6035499999999999,0.067516,0.24185299999999998,,0.6551446945,0.7443729904,0.09090909091,0.126984127,0.08571428571
sample32 ,0.688759,0.19846000000000003,0.0,0.11278099999999999,,0.1171073934,0.1171073934,0.2727272727,0.07936507937000001,0.07142857142999999
sample33 ,0.0,0.6787190000000001,0.18187100000000003,0.13941,,0.6669520548,0.9195205479,0.09090909091,0.44444444439999997,0.4
sample34 ,0.0,0.8974359999999999,0.0,0.102564,,0.78125,0.78125,0.09090909091,0.4126984127,0.2571428571
sample35 ,0.698582,0.155894,0.0,0.145524,,0.09090909091,0.09090909091,0.2727272727,0.07936507937000001,0.07142857142999999
sample36 ,0.835872,0.003036,0.0,0.16089799999999999,,0.04166666667,0.04166666667,0.3636363636,0.04761904762,0.04285714286
sample37 ,0.39772700000000005,0.35014100000000004,0.0,0.25213199999999997,,0.390625,0.390625,0.09090909091,0.03174603175,0.028571428569999998
sample38 ,0.7298779999999998,0.14899300000000001,0.0,0.120371,,0.2,0.2,0.3181818182,0.06349206349,0.04285714286
sample39 ,0.82956,0.07433800000000002,0.0,0.09610199999999999,,0.051113360319999995,0.0516194332,0.5,0.07936507937000001,0.07142857142999999
sample40 ,0.0,0.907931,0.0,0.091945,,0.7978803936,0.7993943981999999,0.09090909091,0.5714285714,0.3714285714
sample41 ,0.6666670000000001,0.223684,0.0,0.109649,,0.2727272727,0.2727272727,0.2727272727,0.06349206349,0.057142857139999996
sample42 ,0.068966,0.075596,0.571429,0.28341500000000003,,0.1343283582,0.7761194029999999,0.04545454545,0.06349206349,0.08571428571
sample43 ,0.0,0.0,0.9032259999999999,0.095819,,0.01075268817,1.0,0.09090909091,0.3015873016,0.4857142857
sample44 ,0.72198,0.04878,0.0,0.22924,,0.11627906980000001,0.2790697674,0.3181818182,0.06349206349,0.057142857139999996
sample45 ,0.0,0.517438,0.055556,0.427006,,0.6417910447999999,0.7462686567,0.13636363640000002,0.15873015869999998,0.14285714289999998
sample46 ,0.007194,0.910714,0.0,0.08143800000000001,,0.8843830889000001,0.8843830889000001,0.13636363640000002,0.5555555556,0.3571428571
